CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,ContractType,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingServices,MonthlyUsageGB,SupportTicketsLastYear,PaymentDelaysCount,CustomerSatisfactionScore,MonthlyCharges,TotalChargesHistorical,Churn,CustomerLifetimeValue,Cluster_ID,Customer_Persona,Predicted_Churn_Prob,Predicted_Churn_Binary,Predicted_CLV_Dollars,Churn_Risk_Tier,CLV_Value_Tier
CUST_10050,19,Male,0,No,No,47,One year,No,Electronic check,Fiber optic,Yes,No,No,366.8,0,1,5.0,90.5,4229.5,0,2779.13,2,Tech-Savvy Heavy Streamers,0.0459,0,3072.04,Low Risk (<30%),High Value (>$2.5k)
CUST_10051,46,Male,0,Yes,Yes,53,Two year,Yes,Bank transfer (automatic),DSL,No,No,Yes,99.1,2,0,4.0,69.73,3706.12,0,2442.94,1,At-Risk Month-to-Month Consumers,0.01,0,2426.64,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10052,37,Male,0,No,No,24,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,No,182.7,3,2,3.0,43.29,1052.57,0,1423.55,0,High-Value Enterprise Loyalists,0.4102,0,1198.16,Medium Risk (30-60%),Budget Value (<$1.2k)
CUST_10053,33,Female,0,No,No,35,Two year,Yes,Credit card (automatic),Fiber optic,No,No,No,559.0,0,0,5.0,77.37,2709.32,0,2615.34,2,Tech-Savvy Heavy Streamers,0.0069,0,2656.06,Low Risk (<30%),High Value (>$2.5k)
CUST_10054,50,Male,0,Yes,Yes,17,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,No,Yes,647.8,2,0,5.0,103.54,1795.71,0,3401.12,2,Tech-Savvy Heavy Streamers,0.2965,0,3005.07,Low Risk (<30%),High Value (>$2.5k)
CUST_10055,55,Female,0,Yes,Yes,38,Two year,Yes,Mailed check,Fiber optic,No,No,No,532.5,0,0,5.0,82.32,3105.16,0,3048.62,2,Tech-Savvy Heavy Streamers,0.0091,0,2937.43,Low Risk (<30%),High Value (>$2.5k)
CUST_10056,54,Female,0,Yes,Yes,21,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,Yes,Yes,529.1,1,1,5.0,126.09,2704.16,0,3738.79,2,Tech-Savvy Heavy Streamers,0.0697,0,3527.49,Low Risk (<30%),High Value (>$2.5k)
CUST_10057,31,Male,0,No,No,51,Two year,No,Credit card (automatic),Fiber optic,No,No,Yes,674.8,1,1,4.0,101.95,5162.69,0,3385.81,2,Tech-Savvy Heavy Streamers,0.0115,0,3770.39,Low Risk (<30%),High Value (>$2.5k)
CUST_10058,38,Male,0,No,No,35,Two year,Yes,Mailed check,DSL,No,No,Yes,126.2,3,0,4.0,71.64,2474.09,0,2184.47,3,Budget-Conscious Minimalists,0.0144,0,2246.43,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10059,46,Male,0,No,No,9,Month-to-month,No,Mailed check,DSL,Yes,No,Yes,146.5,1,1,5.0,82.46,697.27,0,2280.09,1,At-Risk Month-to-Month Consumers,0.0917,0,2040.09,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10060,55,Female,0,Yes,Yes,36,Two year,Yes,Bank transfer (automatic),No,No internet service,No internet service,No internet service,23.3,0,0,5.0,20.64,732.09,0,1010.82,1,At-Risk Month-to-Month Consumers,0.0086,0,942.44,Low Risk (<30%),Budget Value (<$1.2k)
CUST_10061,36,Female,0,No,No,19,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,116.3,2,1,4.0,70.74,1286.68,0,2128.72,1,At-Risk Month-to-Month Consumers,0.2397,0,1747.31,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10062,40,Female,0,No,No,31,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,88.4,2,0,5.0,69.71,2163.08,0,2097.24,1,At-Risk Month-to-Month Consumers,0.0968,0,1916.34,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10063,28,Female,0,Yes,Yes,28,Two year,No,Mailed check,Fiber optic,No,No,Yes,275.6,0,1,5.0,99.93,2800.2,0,2883.54,2,Tech-Savvy Heavy Streamers,0.0137,0,2950.46,Low Risk (<30%),High Value (>$2.5k)
CUST_10064,26,Male,0,No,No,27,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,No,312.3,2,4,3.0,107.95,2895.26,1,1556.16,0,High-Value Enterprise Loyalists,0.8126,1,2063.88,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10065,53,Male,0,Yes,No,18,Month-to-month,No,Credit card (automatic),Fiber optic,No,Yes,No,345.3,0,0,5.0,89.74,1607.15,0,2710.1,2,Tech-Savvy Heavy Streamers,0.1102,0,2548.95,Low Risk (<30%),High Value (>$2.5k)
CUST_10066,60,Male,0,Yes,No,29,Month-to-month,Yes,Credit card (automatic),DSL,No,No,No,92.6,3,0,4.0,42.75,1235.98,0,1448.6,3,Budget-Conscious Minimalists,0.1812,0,1357.88,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10067,41,Female,0,No,No,54,One year,Yes,Electronic check,DSL,No,No,No,49.3,1,0,5.0,45.19,2439.88,0,2051.18,1,At-Risk Month-to-Month Consumers,0.018,0,1886.07,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10068,55,Male,0,Yes,Yes,46,Two year,No,Credit card (automatic),Fiber optic,No,Yes,Yes,504.5,1,0,5.0,114.11,5237.52,0,3728.15,2,Tech-Savvy Heavy Streamers,0.0149,0,3858.71,Low Risk (<30%),High Value (>$2.5k)
CUST_10069,47,Female,0,No,No,38,One year,Yes,Mailed check,DSL,No,No,No,216.5,1,0,4.0,48.12,1818.87,0,1669.82,1,At-Risk Month-to-Month Consumers,0.039,0,1846.82,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10070,34,Male,0,No,No,10,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,59.5,2,0,4.0,70.85,713.95,1,536.83,1,At-Risk Month-to-Month Consumers,0.2735,0,1464.19,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10071,47,Female,0,Yes,Yes,12,Month-to-month,Yes,Mailed check,Fiber optic,No,Yes,Yes,200.7,4,0,4.0,112.55,1322.51,1,1198.72,3,Budget-Conscious Minimalists,0.6271,1,1979.63,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10072,62,Female,0,No,No,12,Month-to-month,No,Mailed check,No,No internet service,No internet service,No internet service,11.5,2,0,4.0,27.12,313.52,1,150.0,1,At-Risk Month-to-Month Consumers,0.4041,0,625.95,Medium Risk (30-60%),Budget Value (<$1.2k)
CUST_10073,42,Male,0,No,No,14,One year,No,Mailed check,Fiber optic,No,No,No,197.2,0,0,5.0,80.28,1150.26,0,2358.87,1,At-Risk Month-to-Month Consumers,0.0455,0,2250.04,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10074,62,Male,0,Yes,No,49,One year,No,Credit card (automatic),Fiber optic,No,No,No,296.6,0,0,5.0,76.56,3729.93,0,2561.42,2,Tech-Savvy Heavy Streamers,0.0188,0,2708.82,Low Risk (<30%),High Value (>$2.5k)
CUST_10075,18,Female,0,Yes,Yes,33,Month-to-month,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,119.8,0,0,5.0,83.5,2730.24,0,2579.52,1,At-Risk Month-to-Month Consumers,0.0542,0,2353.27,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10076,53,Female,0,Yes,No,58,Two year,Yes,Mailed check,No,No internet service,No internet service,No internet service,17.7,0,0,5.0,19.38,1095.24,0,1246.69,1,At-Risk Month-to-Month Consumers,0.0071,0,1169.06,Low Risk (<30%),Budget Value (<$1.2k)
CUST_10077,43,Male,0,Yes,No,45,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,No,Yes,308.1,1,1,4.0,102.72,4601.47,0,3525.75,2,Tech-Savvy Heavy Streamers,0.0934,0,3171.11,Low Risk (<30%),High Value (>$2.5k)
CUST_10078,38,Female,0,Yes,No,17,Month-to-month,No,Credit card (automatic),No,No internet service,No internet service,No internet service,22.8,5,0,4.0,25.64,455.02,0,835.93,3,Budget-Conscious Minimalists,0.3402,0,679.74,Medium Risk (30-60%),Budget Value (<$1.2k)
CUST_10079,43,Female,0,Yes,No,17,Two year,Yes,Electronic check,DSL,No,No,Yes,79.0,0,0,5.0,76.43,1319.89,0,2362.17,1,At-Risk Month-to-Month Consumers,0.0133,0,2100.92,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10080,18,Female,0,Yes,Yes,8,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,95.8,4,0,3.0,87.95,723.06,0,2090.15,3,Budget-Conscious Minimalists,0.498,1,1691.66,Medium Risk (30-60%),Mid Value ($1.2k-$2.5k)
CUST_10081,39,Female,0,No,No,11,One year,No,Credit card (automatic),DSL,Yes,No,Yes,218.2,0,0,5.0,78.66,876.64,0,2118.42,1,At-Risk Month-to-Month Consumers,0.0405,0,2197.69,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10082,47,Male,0,Yes,No,40,Two year,No,Bank transfer (automatic),Fiber optic,No,Yes,No,380.1,0,0,4.0,98.64,3954.58,0,3166.37,2,Tech-Savvy Heavy Streamers,0.0134,0,3177.79,Low Risk (<30%),High Value (>$2.5k)
CUST_10083,61,Male,0,No,No,11,Month-to-month,Yes,Credit card (automatic),DSL,No,No,Yes,139.5,0,0,5.0,69.27,784.21,0,2065.57,1,At-Risk Month-to-Month Consumers,0.081,0,1680.01,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10084,35,Male,0,No,No,27,One year,No,Electronic check,No,No internet service,No internet service,No internet service,10.7,0,1,4.0,19.82,523.49,0,1182.23,1,At-Risk Month-to-Month Consumers,0.05,0,843.18,Low Risk (<30%),Budget Value (<$1.2k)
CUST_10085,31,Male,0,No,No,15,Month-to-month,Yes,Credit card (automatic),DSL,No,No,No,127.9,5,0,2.0,48.29,744.4,1,376.34,3,Budget-Conscious Minimalists,0.7912,1,1011.61,Critical Risk (>60%),Budget Value (<$1.2k)
CUST_10086,35,Female,0,Yes,Yes,3,One year,Yes,Credit card (automatic),DSL,No,No,Yes,122.6,0,0,5.0,67.41,233.95,0,2143.64,1,At-Risk Month-to-Month Consumers,0.0374,0,1752.67,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10087,54,Female,0,No,No,58,One year,No,Credit card (automatic),Fiber optic,Yes,Yes,Yes,363.3,1,0,5.0,126.7,7308.72,0,4161.55,2,Tech-Savvy Heavy Streamers,0.0178,0,4097.91,Low Risk (<30%),High Value (>$2.5k)
CUST_10088,46,Female,0,No,No,43,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,No,Yes,393.2,4,0,3.0,108.98,4678.46,0,3508.15,3,Budget-Conscious Minimalists,0.0459,0,3200.6,Low Risk (<30%),High Value (>$2.5k)
CUST_10089,35,Female,0,No,No,30,One year,No,Electronic check,Fiber optic,Yes,No,No,508.6,1,1,5.0,94.48,2825.49,0,3051.93,2,Tech-Savvy Heavy Streamers,0.0491,0,3000.16,Low Risk (<30%),High Value (>$2.5k)
CUST_10090,49,Female,0,Yes,No,21,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,Yes,195.7,2,1,4.0,107.17,2249.93,1,1186.22,2,Tech-Savvy Heavy Streamers,0.4206,0,2429.5,Medium Risk (30-60%),Mid Value ($1.2k-$2.5k)
CUST_10091,43,Male,0,Yes,Yes,35,One year,No,Mailed check,Fiber optic,No,Yes,No,422.4,1,0,4.0,99.15,3481.36,0,3112.2,2,Tech-Savvy Heavy Streamers,0.0464,0,3088.15,Low Risk (<30%),High Value (>$2.5k)
CUST_10092,55,Male,0,No,No,35,Month-to-month,Yes,Mailed check,DSL,No,Yes,No,130.6,8,1,2.0,65.3,2337.62,1,1029.15,3,Budget-Conscious Minimalists,0.8532,1,1250.63,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10093,33,Female,0,Yes,Yes,54,Two year,No,Bank transfer (automatic),Fiber optic,Yes,No,No,435.0,1,0,5.0,90.74,4866.04,0,3061.83,2,Tech-Savvy Heavy Streamers,0.0065,0,3209.61,Low Risk (<30%),High Value (>$2.5k)
CUST_10094,38,Male,0,Yes,No,27,One year,No,Bank transfer (automatic),DSL,Yes,No,No,160.8,1,0,4.0,57.31,1516.54,0,1955.95,1,At-Risk Month-to-Month Consumers,0.0416,0,1839.49,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10095,37,Male,0,Yes,Yes,20,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,324.3,4,2,3.0,128.0,2581.22,1,1524.01,3,Budget-Conscious Minimalists,0.9038,1,1719.82,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10096,23,Male,0,No,No,61,Two year,Yes,Bank transfer (automatic),DSL,No,No,No,111.3,2,1,4.0,55.05,3368.46,0,2233.35,1,At-Risk Month-to-Month Consumers,0.0081,0,2172.0,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10097,46,Male,0,No,No,44,Two year,Yes,Electronic check,DSL,No,Yes,No,147.0,0,3,4.0,63.82,2797.26,0,2305.0,0,High-Value Enterprise Loyalists,0.0154,0,2171.16,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10098,45,Male,0,Yes,Yes,33,Two year,No,Electronic check,Fiber optic,Yes,No,Yes,250.8,1,2,3.0,108.3,3565.14,0,3330.83,0,High-Value Enterprise Loyalists,0.0416,0,3076.01,Low Risk (<30%),High Value (>$2.5k)
CUST_10099,42,Male,0,No,No,41,One year,Yes,Mailed check,DSL,No,No,No,113.6,0,0,4.0,45.58,1866.01,0,1695.78,1,At-Risk Month-to-Month Consumers,0.0342,0,1655.46,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
