CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,ContractType,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingServices,MonthlyUsageGB,SupportTicketsLastYear,PaymentDelaysCount,CustomerSatisfactionScore,MonthlyCharges,TotalChargesHistorical,Churn,CustomerLifetimeValue
CUST_10040,45,Female,0,Yes,Yes,15,Month-to-month,No,Electronic check,Fiber optic,No,No,Yes,397.4,3,2,3.0,98.17,1490.11,1,1310.41
CUST_10041,52,Male,0,No,No,56,One year,No,Electronic check,Fiber optic,No,No,No,408.4,1,0,4.0,70.71,4014.57,0,2763.99
CUST_10042,44,Male,0,Yes,Yes,33,Month-to-month,No,Mailed check,DSL,No,No,No,163.8,2,0,4.0,42.52,1402.3,0,1424.72
CUST_10043,40,Male,0,Yes,Yes,33,Month-to-month,Yes,Bank transfer (automatic),DSL,Yes,Yes,No,81.4,3,2,3.0,77.38,2540.45,1,948.55
CUST_10044,38,Male,0,Yes,No,44,One year,Yes,Electronic check,DSL,Yes,No,No,84.9,0,3,5.0,55.26,2392.2,0,1797.63
CUST_10045,23,Male,0,Yes,Yes,68,Two year,No,Mailed check,DSL,Yes,No,No,156.4,1,0,5.0,61.71,4182.84,0,2640.51
CUST_10046,33,Male,0,No,No,67,One year,Yes,Electronic check,No,No internet service,No internet service,No internet service,5.3,1,1,5.0,24.97,1685.85,0,1432.96
CUST_10047,36,Female,0,No,No,27,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,146.0,1,1,4.0,87.19,2358.49,1,1082.21
CUST_10048,56,Female,0,No,No,60,One year,No,Credit card (automatic),DSL,Yes,No,No,164.4,3,1,3.0,60.49,3606.97,0,2493.09
CUST_10049,46,Female,0,Yes,No,53,One year,No,Credit card (automatic),DSL,No,No,Yes,43.4,1,1,4.0,70.23,3736.23,0,2273.11
CUST_10050,19,Male,0,No,No,47,One year,No,Electronic check,Fiber optic,Yes,No,No,366.8,0,1,5.0,90.5,4229.5,0,2779.13
CUST_10051,46,Male,0,Yes,Yes,53,Two year,Yes,Bank transfer (automatic),DSL,No,No,Yes,99.1,2,0,4.0,69.73,3706.12,0,2442.94
CUST_10052,37,Male,0,No,No,24,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,No,182.7,3,2,3.0,43.29,1052.57,0,1423.55
CUST_10053,33,Female,0,No,No,35,Two year,Yes,Credit card (automatic),Fiber optic,No,No,No,559.0,0,0,5.0,77.37,2709.32,0,2615.34
CUST_10054,50,Male,0,Yes,Yes,17,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,No,Yes,647.8,2,0,5.0,103.54,1795.71,0,3401.12
CUST_10055,55,Female,0,Yes,Yes,38,Two year,Yes,Mailed check,Fiber optic,No,No,No,532.5,0,0,5.0,82.32,3105.16,0,3048.62
CUST_10056,54,Female,0,Yes,Yes,21,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,Yes,Yes,529.1,1,1,5.0,126.09,2704.16,0,3738.79
CUST_10057,31,Male,0,No,No,51,Two year,No,Credit card (automatic),Fiber optic,No,No,Yes,674.8,1,1,4.0,101.95,5162.69,0,3385.81
CUST_10058,38,Male,0,No,No,35,Two year,Yes,Mailed check,DSL,No,No,Yes,126.2,3,0,4.0,71.64,2474.09,0,2184.47
CUST_10059,46,Male,0,No,No,9,Month-to-month,No,Mailed check,DSL,Yes,No,Yes,146.5,1,1,5.0,82.46,697.27,0,2280.09
CUST_10060,55,Female,0,Yes,Yes,36,Two year,Yes,Bank transfer (automatic),No,No internet service,No internet service,No internet service,23.3,0,0,5.0,20.64,732.09,0,1010.82
CUST_10061,36,Female,0,No,No,19,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,116.3,2,1,4.0,70.74,1286.68,0,2128.72
CUST_10062,40,Female,0,No,No,31,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,88.4,2,0,5.0,69.71,2163.08,0,2097.24
CUST_10063,28,Female,0,Yes,Yes,28,Two year,No,Mailed check,Fiber optic,No,No,Yes,275.6,0,1,5.0,99.93,2800.2,0,2883.54
CUST_10064,26,Male,0,No,No,27,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,No,312.3,2,4,3.0,107.95,2895.26,1,1556.16
CUST_10065,53,Male,0,Yes,No,18,Month-to-month,No,Credit card (automatic),Fiber optic,No,Yes,No,345.3,0,0,5.0,89.74,1607.15,0,2710.1
CUST_10066,60,Male,0,Yes,No,29,Month-to-month,Yes,Credit card (automatic),DSL,No,No,No,92.6,3,0,4.0,42.75,1235.98,0,1448.6
CUST_10067,41,Female,0,No,No,54,One year,Yes,Electronic check,DSL,No,No,No,49.3,1,0,5.0,45.19,2439.88,0,2051.18
CUST_10068,55,Male,0,Yes,Yes,46,Two year,No,Credit card (automatic),Fiber optic,No,Yes,Yes,504.5,1,0,5.0,114.11,5237.52,0,3728.15
CUST_10069,47,Female,0,No,No,38,One year,Yes,Mailed check,DSL,No,No,No,216.5,1,0,4.0,48.12,1818.87,0,1669.82
CUST_10070,34,Male,0,No,No,10,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,59.5,2,0,4.0,70.85,713.95,1,536.83
CUST_10071,47,Female,0,Yes,Yes,12,Month-to-month,Yes,Mailed check,Fiber optic,No,Yes,Yes,200.7,4,0,4.0,112.55,1322.51,1,1198.72
CUST_10072,62,Female,0,No,No,12,Month-to-month,No,Mailed check,No,No internet service,No internet service,No internet service,11.5,2,0,4.0,27.12,313.52,1,150.0
CUST_10073,42,Male,0,No,No,14,One year,No,Mailed check,Fiber optic,No,No,No,197.2,0,0,5.0,80.28,1150.26,0,2358.87
CUST_10074,62,Male,0,Yes,No,49,One year,No,Credit card (automatic),Fiber optic,No,No,No,296.6,0,0,5.0,76.56,3729.93,0,2561.42
CUST_10075,18,Female,0,Yes,Yes,33,Month-to-month,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,119.8,0,0,5.0,83.5,2730.24,0,2579.52
CUST_10076,53,Female,0,Yes,No,58,Two year,Yes,Mailed check,No,No internet service,No internet service,No internet service,17.7,0,0,5.0,19.38,1095.24,0,1246.69
CUST_10077,43,Male,0,Yes,No,45,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,No,Yes,308.1,1,1,4.0,102.72,4601.47,0,3525.75
CUST_10078,38,Female,0,Yes,No,17,Month-to-month,No,Credit card (automatic),No,No internet service,No internet service,No internet service,22.8,5,0,4.0,25.64,455.02,0,835.93
CUST_10079,43,Female,0,Yes,No,17,Two year,Yes,Electronic check,DSL,No,No,Yes,79.0,0,0,5.0,76.43,1319.89,0,2362.17
CUST_10080,18,Female,0,Yes,Yes,8,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,95.8,4,0,3.0,87.95,723.06,0,2090.15
CUST_10081,39,Female,0,No,No,11,One year,No,Credit card (automatic),DSL,Yes,No,Yes,218.2,0,0,5.0,78.66,876.64,0,2118.42
CUST_10082,47,Male,0,Yes,No,40,Two year,No,Bank transfer (automatic),Fiber optic,No,Yes,No,380.1,0,0,4.0,98.64,3954.58,0,3166.37
CUST_10083,61,Male,0,No,No,11,Month-to-month,Yes,Credit card (automatic),DSL,No,No,Yes,139.5,0,0,5.0,69.27,784.21,0,2065.57
CUST_10084,35,Male,0,No,No,27,One year,No,Electronic check,No,No internet service,No internet service,No internet service,10.7,0,1,4.0,19.82,523.49,0,1182.23
CUST_10085,31,Male,0,No,No,15,Month-to-month,Yes,Credit card (automatic),DSL,No,No,No,127.9,5,0,2.0,48.29,744.4,1,376.34
CUST_10086,35,Female,0,Yes,Yes,3,One year,Yes,Credit card (automatic),DSL,No,No,Yes,122.6,0,0,5.0,67.41,233.95,0,2143.64
CUST_10087,54,Female,0,No,No,58,One year,No,Credit card (automatic),Fiber optic,Yes,Yes,Yes,363.3,1,0,5.0,126.7,7308.72,0,4161.55
CUST_10088,46,Female,0,No,No,43,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,No,Yes,393.2,4,0,3.0,108.98,4678.46,0,3508.15
CUST_10089,35,Female,0,No,No,30,One year,No,Electronic check,Fiber optic,Yes,No,No,508.6,1,1,5.0,94.48,2825.49,0,3051.93
CUST_10090,49,Female,0,Yes,No,21,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,Yes,195.7,2,1,4.0,107.17,2249.93,1,1186.22
CUST_10091,43,Male,0,Yes,Yes,35,One year,No,Mailed check,Fiber optic,No,Yes,No,422.4,1,0,4.0,99.15,3481.36,0,3112.2
CUST_10092,55,Male,0,No,No,35,Month-to-month,Yes,Mailed check,DSL,No,Yes,No,130.6,8,1,2.0,65.3,2337.62,1,1029.15
CUST_10093,33,Female,0,Yes,Yes,54,Two year,No,Bank transfer (automatic),Fiber optic,Yes,No,No,435.0,1,0,5.0,90.74,4866.04,0,3061.83
CUST_10094,38,Male,0,Yes,No,27,One year,No,Bank transfer (automatic),DSL,Yes,No,No,160.8,1,0,4.0,57.31,1516.54,0,1955.95
CUST_10095,37,Male,0,Yes,Yes,20,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,324.3,4,2,3.0,128.0,2581.22,1,1524.01
CUST_10096,23,Male,0,No,No,61,Two year,Yes,Bank transfer (automatic),DSL,No,No,No,111.3,2,1,4.0,55.05,3368.46,0,2233.35
CUST_10097,46,Male,0,No,No,44,Two year,Yes,Electronic check,DSL,No,Yes,No,147.0,0,3,4.0,63.82,2797.26,0,2305.0
CUST_10098,45,Male,0,Yes,Yes,33,Two year,No,Electronic check,Fiber optic,Yes,No,Yes,250.8,1,2,3.0,108.3,3565.14,0,3330.83
CUST_10099,42,Male,0,No,No,41,One year,Yes,Mailed check,DSL,No,No,No,113.6,0,0,4.0,45.58,1866.01,0,1695.78
CUST_10100,39,Male,0,No,No,36,Two year,Yes,Bank transfer (automatic),DSL,No,No,Yes,124.6,1,1,5.0,69.84,2525.07,0,2167.61
CUST_10101,24,Male,0,No,No,22,Two year,No,Credit card (automatic),Fiber optic,No,Yes,No,477.9,1,0,4.0,89.96,1995.64,0,2979.28
CUST_10102,37,Female,0,No,No,26,One year,No,Mailed check,Fiber optic,No,No,Yes,366.1,0,0,5.0,99.66,2613.47,0,3139.5
CUST_10103,38,Female,0,No,No,21,Month-to-month,Yes,Credit card (automatic),DSL,No,Yes,Yes,128.0,1,0,5.0,81.46,1743.21,0,2274.04
CUST_10104,32,Male,0,No,No,8,One year,No,Electronic check,DSL,No,No,No,110.6,0,2,4.0,46.45,394.98,0,1061.03
CUST_10105,40,Female,0,Yes,Yes,57,Two year,Yes,Credit card (automatic),DSL,Yes,No,Yes,132.6,2,0,4.0,83.4,4748.62,0,2509.6
CUST_10106,47,Female,0,No,No,5,Month-to-month,No,Credit card (automatic),DSL,No,No,Yes,127.6,3,1,2.0,68.66,309.18,0,2053.03
CUST_10107,67,Male,1,Yes,Yes,53,One year,Yes,Bank transfer (automatic),DSL,No,No,No,92.8,1,0,4.0,46.01,2418.74,0,1876.09
CUST_10108,44,Female,0,Yes,No,33,Month-to-month,Yes,Electronic check,DSL,No,Yes,Yes,146.4,1,1,4.0,84.1,2724.79,1,1079.19
CUST_10109,45,Male,0,No,No,44,Two year,No,Mailed check,No,No internet service,No internet service,No internet service,8.0,0,0,5.0,18.5,868.95,0,726.17
CUST_10110,41,Male,0,No,No,2,Month-to-month,Yes,Electronic check,DSL,Yes,No,Yes,124.1,2,1,3.0,79.57,190.62,1,981.75
CUST_10111,18,Male,0,No,No,50,Two year,Yes,Bank transfer (automatic),DSL,No,No,No,194.8,1,0,4.0,57.47,2860.7,0,2142.4
CUST_10112,42,Female,0,Yes,No,27,Month-to-month,No,Electronic check,DSL,No,Yes,Yes,59.3,3,2,4.0,82.5,2243.06,1,1259.75
CUST_10113,43,Female,0,Yes,No,35,Month-to-month,Yes,Mailed check,DSL,No,Yes,No,79.0,4,0,5.0,64.45,2252.12,0,2006.91
CUST_10114,74,Male,1,No,No,7,Month-to-month,Yes,Electronic check,DSL,Yes,Yes,Yes,170.4,3,1,4.0,93.27,671.78,1,1337.5
CUST_10115,39,Male,0,Yes,No,13,Month-to-month,No,Electronic check,Fiber optic,Yes,Yes,Yes,449.8,1,0,5.0,119.83,1572.04,0,3593.59
CUST_10116,46,Male,0,No,No,37,Two year,No,Electronic check,Fiber optic,No,Yes,No,229.0,0,1,4.0,89.98,3326.2,0,2621.8
CUST_10117,42,Female,0,Yes,Yes,52,One year,No,Electronic check,DSL,No,Yes,No,69.7,1,0,5.0,62.72,3265.36,0,2445.54
CUST_10118,27,Female,0,Yes,No,11,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,No,No,75.8,1,0,4.0,75.02,811.48,0,1825.17
CUST_10119,57,Male,0,No,No,19,One year,Yes,Electronic check,DSL,No,Yes,Yes,44.6,0,1,5.0,78.33,1501.82,0,2214.21
CUST_10120,52,Female,0,Yes,No,65,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,110.9,2,0,4.0,68.2,4386.64,1,1607.34
CUST_10121,52,Male,0,Yes,No,21,Two year,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,169.7,0,0,5.0,85.19,1800.81,0,2384.74
CUST_10122,30,Female,0,Yes,No,35,One year,Yes,Electronic check,Fiber optic,No,No,No,480.0,1,0,4.0,80.8,2790.99,0,2590.74
CUST_10123,60,Female,0,No,No,27,One year,Yes,Electronic check,Fiber optic,No,Yes,No,446.8,0,0,5.0,92.65,2501.25,0,2703.15
CUST_10124,24,Female,0,No,No,59,Two year,No,Bank transfer (automatic),No,No internet service,No internet service,No internet service,7.6,1,0,5.0,18.5,1093.86,0,1144.91
CUST_10125,50,Female,0,Yes,Yes,62,One year,No,Credit card (automatic),DSL,No,No,Yes,178.5,0,0,5.0,74.53,4627.42,0,2823.45
CUST_10126,70,Male,1,Yes,No,63,One year,Yes,Mailed check,Fiber optic,No,No,No,427.3,2,0,4.0,85.58,5370.96,0,3276.73
CUST_10127,29,Male,0,No,No,41,Month-to-month,Yes,Mailed check,DSL,No,No,No,58.3,2,0,5.0,49.0,1989.52,0,1762.1
CUST_10128,35,Female,0,Yes,No,32,One year,Yes,Bank transfer (automatic),Fiber optic,No,Yes,Yes,198.5,0,0,5.0,120.69,3873.3,0,3465.96
CUST_10129,43,Male,0,No,No,50,One year,Yes,Credit card (automatic),DSL,No,No,Yes,154.0,0,0,5.0,72.86,3629.15,0,2513.13
CUST_10130,35,Female,0,Yes,Yes,48,Two year,No,Credit card (automatic),DSL,No,No,No,156.7,1,0,4.0,55.72,2698.82,0,1891.23
CUST_10131,22,Male,0,Yes,Yes,27,Month-to-month,Yes,Mailed check,DSL,No,No,No,103.4,3,0,4.0,48.56,1309.87,0,1891.69
CUST_10132,43,Female,0,No,No,56,Month-to-month,No,Electronic check,DSL,No,No,No,99.2,2,4,2.0,51.53,2885.66,0,2147.43
CUST_10133,28,Male,0,Yes,No,38,One year,Yes,Bank transfer (automatic),Fiber optic,No,No,Yes,409.6,0,0,5.0,105.37,4001.68,0,3496.01
CUST_10134,48,Male,0,No,No,6,Month-to-month,No,Electronic check,DSL,No,No,Yes,127.6,1,2,5.0,70.24,430.79,1,689.41
CUST_10135,30,Male,0,Yes,Yes,18,One year,No,Mailed check,Fiber optic,Yes,No,No,424.7,2,0,3.0,92.9,1671.95,0,2793.02
CUST_10136,62,Male,0,Yes,No,39,Two year,Yes,Bank transfer (automatic),Fiber optic,No,No,No,174.4,1,1,4.0,78.39,3064.8,0,2463.25
CUST_10137,32,Male,0,No,No,50,One year,Yes,Bank transfer (automatic),Fiber optic,Yes,No,No,348.1,2,0,4.0,87.37,4412.1,0,3032.33
CUST_10138,38,Male,0,Yes,Yes,42,Month-to-month,No,Bank transfer (automatic),No,No internet service,No internet service,No internet service,16.9,5,1,3.0,18.5,819.53,0,1151.59
CUST_10139,53,Male,0,No,No,61,Month-to-month,Yes,Electronic check,DSL,Yes,No,No,128.2,2,3,3.0,64.89,3975.63,0,2502.96
CUST_10140,26,Male,0,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),DSL,No,Yes,Yes,121.5,5,0,3.0,91.21,497.68,1,671.45
CUST_10141,45,Male,0,No,No,36,Two year,Yes,Electronic check,DSL,No,No,Yes,88.8,0,2,3.0,69.37,2478.16,0,2315.38
CUST_10142,59,Female,0,No,No,53,One year,Yes,Electronic check,DSL,Yes,No,Yes,134.1,2,4,3.0,78.69,4173.72,0,2327.58
CUST_10143,21,Male,0,Yes,Yes,38,Two year,Yes,Bank transfer (automatic),Fiber optic,No,No,Yes,133.4,1,0,5.0,102.24,3870.77,0,3050.54
CUST_10144,44,Female,0,No,No,19,Two year,Yes,Credit card (automatic),Fiber optic,Yes,No,No,378.7,2,0,3.0,91.63,1750.5,0,2708.92
CUST_10145,45,Male,0,No,No,11,Month-to-month,No,Mailed check,Fiber optic,No,No,Yes,530.1,1,0,5.0,93.96,1034.02,0,2737.6
CUST_10146,52,Female,0,Yes,No,8,One year,Yes,Bank transfer (automatic),DSL,No,No,No,129.0,0,1,5.0,53.69,427.33,0,1177.4
CUST_10147,26,Male,0,No,No,23,One year,Yes,Mailed check,No,No internet service,No internet service,No internet service,10.2,0,0,4.0,18.5,420.71,0,714.47
CUST_10148,25,Female,0,No,No,44,Two year,Yes,Electronic check,DSL,Yes,Yes,Yes,106.3,0,1,4.0,95.81,4184.1,0,2906.27
CUST_10149,49,Female,0,Yes,Yes,29,One year,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,85.6,2,0,5.0,82.27,2380.23,0,2261.3
CUST_10150,46,Female,0,Yes,No,69,One year,No,Mailed check,No,No internet service,No internet service,No internet service,16.1,2,0,4.0,18.5,1305.37,0,1316.47
CUST_10151,45,Male,0,Yes,No,6,Two year,No,Credit card (automatic),DSL,No,No,Yes,121.0,0,0,5.0,62.21,377.46,0,1590.94
CUST_10152,47,Female,0,Yes,Yes,29,Month-to-month,No,Electronic check,Fiber optic,Yes,No,Yes,235.4,2,4,4.0,112.66,3289.93,0,3308.71
CUST_10153,33,Female,0,No,No,11,One year,Yes,Electronic check,Fiber optic,No,No,No,482.2,0,1,5.0,73.44,814.62,0,2340.06
CUST_10154,45,Male,0,No,No,4,Month-to-month,Yes,Mailed check,No,No internet service,No internet service,No internet service,13.4,2,0,4.0,22.55,104.93,0,631.87
CUST_10155,46,Male,0,No,No,69,Two year,Yes,Mailed check,DSL,No,No,No,138.1,1,0,3.0,47.93,3335.85,0,2306.84
CUST_10156,33,Female,0,Yes,Yes,59,One year,Yes,Mailed check,No,No internet service,No internet service,No internet service,23.2,1,1,5.0,19.49,1132.31,0,933.07
CUST_10157,66,Female,1,Yes,Yes,32,Two year,Yes,Electronic check,DSL,No,No,No,68.4,1,2,5.0,46.89,1527.8,0,1505.5
CUST_10158,48,Female,0,No,No,50,Month-to-month,No,Electronic check,DSL,Yes,No,Yes,185.8,2,1,4.0,84.03,4141.55,0,2671.45
CUST_10159,27,Male,0,No,No,14,Month-to-month,Yes,Credit card (automatic),DSL,No,No,Yes,94.3,6,1,2.0,70.42,978.49,1,849.0
CUST_10160,51,Female,0,No,No,12,One year,Yes,Mailed check,DSL,Yes,Yes,No,175.8,1,0,5.0,80.25,1018.53,0,2387.43
CUST_10161,29,Female,0,Yes,Yes,0,Two year,No,Bank transfer (automatic),No,No internet service,No internet service,No internet service,21.3,2,0,4.0,18.5,,0,676.64
CUST_10162,52,Female,0,Yes,Yes,46,One year,No,Mailed check,Fiber optic,No,No,No,273.4,1,0,4.0,86.11,3989.92,0,2766.15
CUST_10163,57,Female,0,Yes,Yes,56,One year,Yes,Bank transfer (automatic),Fiber optic,Yes,No,Yes,336.3,0,0,5.0,118.29,6632.64,0,3847.86
CUST_10164,31,Male,0,No,No,21,One year,Yes,Bank transfer (automatic),DSL,Yes,No,Yes,41.2,1,0,5.0,86.66,1831.48,0,2555.0
CUST_10165,55,Female,0,Yes,Yes,5,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,Yes,No,308.2,2,1,4.0,92.06,431.54,0,2316.49
CUST_10166,47,Female,0,No,No,49,Two year,Yes,Electronic check,DSL,No,Yes,No,78.3,1,1,4.0,66.56,3259.12,0,1953.51
CUST_10167,53,Female,0,No,No,44,Month-to-month,No,Mailed check,DSL,No,No,No,88.9,5,1,3.0,50.27,2191.36,0,1900.09
CUST_10168,67,Female,1,Yes,Yes,44,Two year,Yes,Electronic check,Fiber optic,No,No,Yes,357.8,2,4,2.0,97.12,4299.26,0,3287.09
CUST_10169,39,Female,0,No,No,16,One year,Yes,Bank transfer (automatic),Fiber optic,No,Yes,Yes,402.2,1,1,5.0,111.67,1818.51,0,3133.0
CUST_10170,32,Male,0,No,No,26,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,Yes,272.5,0,0,5.0,111.39,2886.14,0,3377.0
CUST_10171,30,Male,0,No,No,64,One year,Yes,Electronic check,Fiber optic,Yes,Yes,No,354.2,1,1,5.0,98.4,6290.75,0,3664.11
CUST_10172,31,Male,0,Yes,Yes,13,Two year,No,Bank transfer (automatic),Fiber optic,Yes,No,No,290.4,0,0,4.0,87.15,1163.48,0,2511.26
